Rk,Player,Team,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Prob%
1,Nikola Jokić,DEN,14,7,.667,20,20,34.1,11.4,20.0,.568,1.3,4.2,.301,10.1,15.9,.637,.599,5.0,6.4,.781,3.3,9.5,12.8,9.8,1.2,0.8,2.9,2.6,29.0,,65.0%
2,Joel Embiid,PHI,12,7,.632,16,16,34.5,10.3,20.7,.498,1.1,3.4,.315,9.3,17.3,.534,.524,10.3,11.8,.878,3.3,8.0,11.3,6.6,1.0,1.9,3.7,3.0,32.0,,12.7%
3,Shai Gilgeous-Alexander,OKC,13,6,.684,18,18,34.6,10.9,20.2,.538,1.3,3.5,.365,9.6,16.7,.575,.570,6.8,7.3,.939,0.8,4.9,5.7,6.3,2.4,0.9,2.2,2.4,29.9,,8.0%
4,Tyrese Haliburton,IND,11,8,.579,17,17,34.3,9.3,17.8,.521,4.0,8.9,.447,5.3,8.9,.596,.634,4.4,4.9,.881,0.6,3.4,4.0,11.9,1.1,0.6,2.4,1.1,26.9,,5.5%
5,Giannis Antetokounmpo,MIL,14,6,.700,19,19,34.3,11.5,19.0,.607,0.4,1.8,.229,11.1,17.2,.647,.618,6.5,9.9,.654,2.8,8.0,10.8,4.9,1.4,1.4,4.2,3.1,29.9,,2.6%
6,Luka Dončić,DAL,11,8,.579,18,18,35.8,10.8,22.0,.490,3.8,9.9,.388,6.9,12.1,.573,.577,6.0,7.9,.761,0.7,7.7,8.4,8.4,1.3,0.5,3.8,1.8,31.4,,1.9%
7,Jayson Tatum,BOS,15,5,.750,20,20,36.6,9.7,19.5,.499,3.1,8.6,.357,6.7,10.9,.610,.577,5.2,6.5,.792,0.7,8.2,8.9,4.2,1.1,0.4,3.4,2.2,27.6,,1.4%
8,Tyrese Maxey,PHI,12,7,.632,18,18,38.4,9.4,20.2,.464,3.3,8.3,.396,6.1,11.9,.512,.545,4.9,5.5,.899,0.7,3.9,4.6,6.7,0.8,0.7,1.6,1.9,27.0,,1.1%
9,Kevin Durant,PHO,12,8,.600,18,18,36.6,10.6,20.6,.512,2.2,4.5,.494,8.3,16.1,.517,.566,7.7,8.6,.896,0.3,6.2,6.4,5.8,0.8,1.2,3.6,1.8,31.0,,0.9%
10,Anthony Davis,LAL,12,9,.571,20,20,35.1,8.6,15.8,.546,0.2,0.6,.273,8.5,15.2,.556,.551,5.5,6.6,.840,3.3,9.2,12.5,3.3,1.1,2.8,2.1,2.9,22.9,,0.7%